No of Bedrooms ,total_sqft,bath,No of balcony,site_location,price
2,1022,2,2,19,52
2,950,2,1,19,38
2,1164,2,1,19,56
2,1055,2,2,19,55
6,810,5,2,19,95
2,674,1,1,19,19.9
2,1200,2,0,19,130
2,1385,2,1,19,83.09
2,1020,2,3,19,41
3,1500,2,2,19,65
19,2000,16,0,19,490
2,1174,2,3,19,74
2,1200,2,2,19,53
2,1090,2,2,19,43.59
2,902,2,2,19,49
3,1386,3,1,19,57.46
2,925,2,3,19,38
3,1265,2,1,19,82
2,1200,2,1,19,75
4,7500,4,2,19,900
2,1080,2,1,19,37.8
3,1570,3,3,19,64.5
2,1270,2,2,19,100
1,615,1,1,19,44
2,1020,2,1,19,57
3,1500,3,2,19,88
2,1560,2,2,19,145
2,1067,2,1,19,60
2,1071,2,1,19,62
3,1540,2,2,19,70
2,1009,2,2,19,56
2,1253,2,1,19,65.8
2,985,2,1,19,55
3,1465,2,1,19,76
3,1565,3,2,19,78
4,1800,4,2,19,180
3,1500,3,2,19,125
2,1162,2,0,19,65
2,1265,2,1,19,78
3,1530,2,2,19,74.4
3,1850,3,3,19,140
1,610,1,1,19,39
10,1200,10,0,19,190
3,1450,3,2,19,72.54
4,2830,5,0,19,157.5
2,1200,2,1,19,34.65
2,1210,2,1,19,80
3,1615,3,1,19,175
5,800,4,2,19,98
3,1400,2,1,19,50
2,1044,2,1,19,60
4,11000,5,3,19,2000
2,1265,2,1,19,83
3,1740,3,1,19,150
3,2100,3,2,19,200
3,1500,3,2,19,90
3,1452,3,3,19,60.98
2,1120,2,1,19,60
3,1540,2,2,19,78
3,1250,3,2,19,41
3,1033,2,2,19,30.47
1,525,1,0,19,29.25
4,2400,4,1,19,143
4,2750,5,1,19,240
4,1050,3,3,19,85
2,700,2,1,19,35
2,1240,2,2,19,65
6,2500,6,0,19,81
4,1920,5,2,19,250
2,825,2,1,19,35
3,1286,2,1,19,68
3,5400,3,2,19,400
3,1550,3,1,19,85
3,1330,2,1,19,49
4,2000,4,1,19,312
2,1495,2,2,19,110
3,1721,3,2,19,93
2,1000,2,2,19,35
4,1200,4,2,19,250
3,1241,2,1,19,65
3,1715,3,2,19,95
4,2400,4,1,19,150
2,1200,2,1,19,53.5
2,935,2,1,19,32
5,1200,4,3,19,240
4,2135,3,2,19,149
2,1155,2,1,19,57
2,1200,2,1,19,34.65
2,1164,2,2,19,75
2,1296,2,2,19,105
4,1948,4,2,19,129
2,994,2,1,19,42.28
3,2546,3,0,19,170
3,1060,2,2,19,58.3
4,1350,4,3,19,240
2,1243,2,2,19,46
3,1320,2,1,19,38.12
2,1473,2,1,19,85
3,1052,2,0,19,55.195
3,2200,2,1,19,190
2,1260,2,3,19,75
3,1843,3,2,19,90
3,1600,3,1,19,120
4,2000,3,1,19,180
3,1762,3,3,19,109
2,1370,2,2,19,60
2,1220,2,2,19,60
3,1100,2,2,19,45
3,1340,2,2,19,47
2,1245,2,1,19,125
2,1200,2,2,19,46
3,2250,3,0,19,219
4,3596,5,1,19,251
2,1245,2,1,19,60
2,1100,2,2,20,48
3,2497,3,2,20,140
3,1595,3,2,20,65
3,1665,3,2,20,95
4,1200,4,1,20,175
2,1040,2,1,20,48.5
3,1430,2,1,20,65
2,1083,2,2,20,61.75
4,2181,3,2,20,152
3,1100,3,2,20,58
2,1325,2,2,20,71.55
2,1290,2,3,20,74
2,1480,2,2,20,65
3,1440,1,0,20,67.98
1,510,1,1,20,25.25
5,2280,5,0,20,200
2,1128,2,2,20,38.24
3,1650,2,1,20,75
2,1050,2,1,20,62
2,1185,2,2,20,47.39
3,1410,2,2,20,45.12
1,581.91,2,1,20,25
4,2000,4,1,20,139
3,1005.03,3,0,20,47.405
2,1270,2,1,20,83
2,1018,2,0,20,23.45
2,1050,2,2,20,45
3,1395,2,1,20,62.78
3,1530,3,3,20,51.87
2,1200,2,3,20,42
3,600,3,1,20,83
2,1346,2,1,20,96.17
6,1222,5,3,20,250
3,2100,3,3,20,170
2,1400,2,2,20,65
3,1200,3,2,20,78
3,1560,3,3,20,75
2,1300,2,2,20,65
3,1500,3,2,20,70
3,2238,3,1,20,140
2,1197,2,1,20,79
2,1023,2,2,20,42
4,3200,5,1,20,150
3,1180,2,1,20,46
3,1650,3,3,20,86.45
7,2400,3,3,20,150
1,708,1,0,20,28.32
3,1410,2,3,20,52.17
2,1110,2,0,20,65
4,2107,4,3,20,95
5,958,3,1,20,210
14,1250,15,0,20,125
2,1060,2,2,20,35
3,2266,3,2,20,169
8,1200,7,3,20,100
3,1800,3,2,20,195
2,1190,2,2,20,60
2,982,2,2,20,55
4,3401,5,0,20,230
2,1334,2,3,20,42.69
2,1200,2,0,20,53
3,1256,2,2,20,50
2,1301,2,2,20,65
8,600,6,2,20,60
6,2400,6,3,20,400
2,1073,2,2,20,60
3,1484,2,2,20,56.4
2,1065,2,1,20,45
2,1000,2,0,20,48
3,1489,2,3,20,82
1,905,1,1,20,62
4,2710,6,2,20,142
2,1180,2,1,20,56
2,675,1,1,20,15
2,1200,2,1,20,42
2,1352,3,1,20,93
3,1350,3,2,20,48.6
3,1450,3,0,20,88.2
2,900,2,1,20,90
3,1220,2,2,20,49
3,1200,3,2,20,200
2,1015,2,2,20,37
5,2400,5,3,20,625
3,1503,2,2,20,93
3,1419,2,3,20,87
2,1142,2,2,20,65
3,1680,3,2,20,117
2,1350,2,2,20,65
2,1200,2,0,20,80
3,1525,2,2,20,65
3,1200,3,0,20,66
3,1360,3,1,20,75
2,1400,2,2,20,45
1,1350,2,0,20,45
3,1860,3,2,20,130
4,2990,3,2,20,198
2,865,2,1,20,40
2,1270,2,1,20,80
2,845,2,1,20,45.82
4,1453,4,1,20,160
2,1200,2,2,20,48
2,1059,2,1,20,62
2,1056,1,0,20,250
2,1300,2,2,20,80
3,2980,4,2,20,260
2,1200,2,1,20,55
2,795,1,1,20,32.6
4,4190,4,0,20,325
2,1000,2,3,20,58
3,1290,2,3,20,51.1
4,2500,4,0,20,100
2,1130,2,1,20,36
2,935,2,3,20,45
2,929,1,2,20,51
4,2100,3,2,20,280
3,1448,3,1,20,70
2,1150,2,2,20,40
3,1392,3,1,20,69.46
4,2325,4,1,20,120
3,1590,2,2,20,54
3,1452,3,3,20,60.98
3,1750,3,2,20,105
3,1350,3,2,20,80.99
3,1745,3,2,20,140
4,3500,5,2,20,450
4,2500,4,0,20,170
2,1065,2,1,20,30.75
3,1715,3,3,20,120
2,1346,2,1,20,74.03
2,1153,2,2,20,58
3,1385,2,2,20,48.48
2,964,2,1,20,62
2,1160,2,1,20,65
3,1583,3,1,20,95.23
3,1850,3,3,20,110
2,1267,3,1,20,78
2,500,1,1,20,20
3,1464,3,2,20,56
4,3360,5,2,20,221
1,600,1,1,21,15
3,1540,2,3,21,64
3,1798,3,2,21,89
4,1664,4,3,21,65
2,1175,2,1,21,82
2,720,2,1,21,45
2,1260,2,2,21,45
2,600,2,1,21,55
4,1200,4,0,21,90
3,1200,3,0,21,95
2,950,2,3,21,31
3,2557,3,2,21,141
3,1897,3,2,21,120
2,1128,2,2,21,59
6,1200,6,3,21,180
3,1360,2,2,21,85
3,2700,3,1,21,450
3,1515,3,3,21,93.93
3,2611,3,1,21,239
2,1100,2,2,21,71.5
3,600,2,0,21,100
2,1245,2,1,21,86.28
4,4800,4,3,21,190
2,921,2,1,21,34
3,1655,3,1,21,115
4,2000,3,2,21,25
3,1305,2,2,21,49
3,2072,3,2,21,108
3,1700,3,1,21,97
3,1555,3,2,21,82.5
4,2540,4,1,21,115
1,630,1,0,21,13.86
2,1149,2,1,21,75
1,648,1,1,21,31.75
4,50000,4,2,21,378
2,1070,2,1,21,35
2,1464,2,2,21,56
2,1457,2,2,21,85
3,2059,3,2,21,225
2,1090,2,1,21,31.49
4,2690,4,3,21,191
2,600,3,2,21,75
2,1196,2,2,21,56.81
3,1300,3,2,21,47
2,1109,2,1,21,63
3,1856,3,2,21,135
3,1680,3,1,21,160
2,1150,2,1,21,74
1,575,1,1,21,88
3,1735,3,2,21,72
2,1165,2,2,21,75
2,1225,2,2,21,60
2,955,2,1,21,35.28
3,2065,3,2,21,130
2,1255,2,1,21,54.5
2,1226,2,2,21,52.71
2,1312,2,2,21,55
1,600,1,0,21,20
1,630,1,1,21,60
2,924,2,2,21,76.23
4,2050,3,1,21,100
2,941,2,2,21,48
1,658,1,1,21,34
3,1700,3,2,21,93.5
2,1185,2,2,21,40.17
3,1540,3,3,21,76
2,1125,2,1,21,47
3,2300,3,3,21,369
1,3820,1,1,21,306
3,1560,2,2,21,62.38
4,2400,4,0,21,350
2,1151,2,2,21,39
3,1255,2,2,21,50.19
2,1390,2,2,21,95
3,1439,3,1,21,57.23
3,1552,3,3,21,75
2,1254,2,2,21,47
2,1475,2,1,21,70
2,1567,3,0,21,140
3,1636,3,2,21,85
2,1020,2,2,21,48.95
4,2462,6,0,21,118
3,1225,2,1,21,69
3,1850,4,2,21,120
2,1200,2,3,21,49
3,1500,2,2,21,75
2,1000,2,2,21,35
2,1032,2,1,21,42
3,1650,3,0,21,52
0,2000,1,0,21,120
1,654,1,1,21,38
4,4200,4,2,21,255
3,1675,3,2,21,65
2,1209,2,2,21,100
2,1063,2,2,21,40
2,1150,2,2,21,90
4,2400,4,2,21,89
2,1012,2,1,21,65
3,1762,3,3,21,112
2,1092,2,2,21,43
5,3750,6,2,21,295
2,1184,2,1,21,55
3,1250,2,2,21,50
6,1200,6,2,21,330
6,600,5,3,21,130
6,1200,5,1,21,280
5,800,5,1,21,95
2,1019,2,1,21,62
3,1510,3,2,21,75
5,7514,7,0,21,1500
2,1178,2,1,21,80
2,1200,2,2,21,73.2
3,2072,4,2,21,151
2,1065,2,1,21,70
3,1945,3,3,21,115
2,1242,2,1,21,78
2,1220,2,2,21,46
2,1245,2,1,21,59.76
3,1347,2,2,21,55
4,2940,6,2,21,201
3,1475,3,3,21,75
3,1436,2,3,21,62.15
4,4040,4,0,21,500
5,1200,5,1,21,125
6,970,6,3,21,105
3,1520,3,1,21,165
3,1885,3,2,21,85.52
4,2400,4,1,21,180
2,1062,2,1,21,50
4,2650,4,1,21,223
2,1129,2,1,21,50
3,1500,3,2,21,50
2,1246,2,1,21,67.4
4,1200,5,0,21,325
4,3385,4,1,21,220
3,1510,2,3,21,110
2,1020,2,2,21,39
2,1295,2,1,21,62
3,2010,3,2,21,201
3,1755,3,1,22,122
3,1436,3,1,22,74.75
3,1475,3,2,22,78.29
3,1850,3,3,22,150
2,1000,2,0,22,165
3,1511,3,1,22,95
3,1630,3,2,22,85
3,2300,3,3,22,120
6,600,4,3,22,65
7,2500,6,2,22,115
3,1396,2,1,22,86.51
3,1480,3,2,22,90
2,996,2,1,22,67
6,1200,6,2,22,250
2,1178,2,3,22,47
3,1865,3,1,22,124
2,1120,2,2,22,33.6
2,1157,2,1,22,53.8
3,1875,2,2,22,150
2,1300,2,0,22,120
3,2000,3,3,22,207
3,1158,2,2,22,85
3,1533,3,2,22,115
2,1010,2,1,22,49.27
2,940,2,1,22,40
2,1322,2,2,22,68
4,800,4,2,22,120
3,1450,3,3,22,60.91
3,1575,2,2,22,78
2,1550,2,1,22,71
2,1290,2,1,22,100
3,1446,1,0,22,98.94
3,2180,3,2,22,170
3,1167,2,1,22,38
4,2700,4,2,22,130
3,1801,3,2,22,140
3,2200,3,2,22,130
2,1262,2,2,22,55
1,525,1,1,22,30
3,1712,3,3,22,82
4,3293,1,0,22,226
2,1020,2,1,22,44.5
2,1280,2,1,22,69
2,1157,2,0,22,40
2,1280,2,1,22,49.75
3,1464,3,2,22,56
2,1400,2,1,22,82
2,600,3,2,22,45
2,1025,2,1,22,54.1
2,915,2,2,22,37
7,1200,7,3,22,169
3,1200,2,0,22,66
2,1418,2,2,22,104
3,1800,3,2,22,90
3,600,3,2,22,100
2,1500,2,2,22,88
2,750,2,0,22,40
3,2640,5,1,22,142
3,1850,3,1,22,150
2,914,2,2,22,49
1,530,1,1,22,29.44
4,5000,4,3,22,465
3,1350,3,1,22,250
3,1600,3,0,22,75
3,1890,3,2,22,108
3,1550,3,3,22,63.5
2,1447,2,1,22,75.97
2,1000,2,1,22,62
5,2000,4,2,22,145
2,1140,2,2,22,42
2,1185,2,1,22,50
5,7500,8,3,22,1700
2,1025,2,1,22,53.9
3,1500,3,2,22,104
2,1375,2,2,22,72
3,1785,3,2,22,120
3,1255,3,2,22,115
2,1265,2,2,22,55
3,1082,2,1,22,45.5
3,1415,3,1,22,65
2,965,2,1,22,56
2,1125,2,2,22,56.8
4,5200,5,3,22,242
3,1580,3,1,22,60
2,1120,2,2,22,65
3,1502,3,3,22,50
2,1071,2,1,22,51
3,1998,3,2,22,117
1,600,1,0,22,45
2,1220,2,1,22,65
2,1105,2,2,22,50
3,1450,2,2,22,63.51
2,708,2,1,22,32
2,1089,2,1,22,43.55
1,697,1,1,22,35
2,1310,2,2,22,111
2,1169,2,2,22,75
2,970,2,2,22,34
2,1303,2,2,22,80
2,1400,2,0,22,75
3,1679,3,2,22,94.86
7,1400,5,2,22,175
4,2470,5,0,22,188
3,1360,2,1,22,70
2,1090,2,2,22,57
2,703,2,1,22,60
5,1400,5,1,22,97
2,1150,2,2,22,40.21
2,1120,2,1,22,50
3,1881,3,2,22,145
2,991,2,2,22,40
2,1055,2,1,22,43
4,2200,3,1,22,225
2,1150,2,0,22,56.725
3,1033,2,2,22,30.47
2,1268,2,1,22,58
2,1441,2,1,22,115
5,1200,3,1,22,65
8,1200,8,3,22,250
3,1633,3,2,22,110
2,1353,2,3,22,75
3,1200,2,0,22,66
3,1980,4,2,22,166
2,1050,2,2,22,37
7,3150,7,3,22,375
3,1665,3,0,22,85
2,1500,2,2,22,45
2,1151,2,2,22,42.5
1,700,1,1,22,25.5
3,1350,2,2,22,47
3,1876,3,1,22,150
3,1347,2,1,22,44
1,615,1,1,22,43.08
2,1200,1,1,22,180
4,2150,3,2,22,85
2,900,2,1,22,42
2,1290,2,2,22,70
2,1012,2,1,22,62
3,1226,2,2,22,60
4,2800,5,2,23,380
2,1100,2,2,23,75
3,1580,3,3,23,100
2,1438,2,3,23,100
4,1200,2,0,23,125
3,1300,3,1,23,58
3,1249,3,2,23,44.71
2,1240,2,2,23,60
3,1556,2,1,23,59.13
1,520,1,0,23,15.135
2,1050,2,2,23,52.07
9,3300,14,0,23,500
3,1875,3,2,23,110
2,924,2,2,23,65
3,1375,2,1,23,50
3,1157,2,1,23,75
3,2424,3,2,23,90
4,2400,5,1,23,85
2,1065,2,1,23,42.6
2,1225,2,2,23,150
3,1354,3,1,23,90
4,3951,4,2,23,220
4,2800,3,2,23,500
2,1015,2,1,23,43
2,1050,2,2,23,85
4,1800,4,2,23,145
5,2700,7,2,23,125
3,1550,3,2,23,82
3,3500,4,2,23,330
2,1190,2,2,23,67
3,600,3,1,23,98
3,1850,3,2,23,140
8,1200,7,1,23,110
7,1000,7,3,23,160
2,920,2,1,23,37.46
3,1697,3,2,23,115
2,850,2,2,23,55
4,1196,3,1,23,150
2,1447,2,1,23,75.97
2,1088,2,1,23,68
3,1295,2,1,23,50.28
3,1530,3,2,23,77
4,800,4,2,23,86
3,1300,3,2,23,69
4,2885,3,1,23,185
6,2100,6,2,23,71
2,1310,2,2,23,72
3,1440,3,2,23,65.8
3,1758,3,2,23,95
3,1450,3,3,23,68
3,1787,3,2,23,123
2,1340,2,3,23,77
9,1200,8,0,23,225
2,1150,2,2,23,125
2,1036,2,2,23,110
2,1363,2,1,23,79
3,1615,3,2,23,115
2,1314,2,2,23,68.8
9,1200,9,0,23,175
1,500,1,1,23,17
4,2580,4,0,23,139.5
3,1665,3,2,23,86.58
3,2500,3,2,23,280
4,1550,4,1,23,120
3,1247,2,2,23,58
2,1198,2,1,23,65
4,2882,5,1,23,158
3,1682,3,1,23,113
2,1215,2,2,23,59
3,1431,3,2,23,65
2,1083,2,1,23,100
3,1464,3,2,23,56
3,1877,4,2,23,150
3,2047,3,2,23,136
5,2990,5,3,23,416
2,810,2,2,23,34.5
2,1051,2,3,23,61
2,1200,2,0,23,58
2,1050,2,1,23,80
5,1800,6,3,23,270
2,1116,2,2,23,40
4,4000,4,1,23,700
2,1190,2,2,23,39.25
1,770,1,0,23,45.4
3,1176,2,1,23,45
3,1512,3,0,23,80
2,1225,2,2,23,48
2,1025,2,1,23,35.88
3,2388,3,1,23,195
3,1800,3,3,23,150
2,1139,2,2,23,72
2,1123,2,1,23,36
2,1445,2,2,23,82
1,2400,2,0,23,230
2,1352,2,2,23,72
2,1206,2,0,23,40
2,933,2,1,23,55
3,1560,2,2,23,125
3,1416,2,1,23,85
3,1450,3,2,23,75
3,2223,3,2,23,300
2,1225,2,2,23,48
2,1155,2,1,23,69.18
3,1390,2,1,23,50
2,921,2,2,23,29.47
3,2285,4,1,23,165
3,1733.5,3,1,23,120
2,930,2,1,23,25.99
2,1150,2,2,23,52
3,1493,2,3,23,90
3,1555,3,2,23,125
1,615,1,1,23,46
3,3000,3,1,23,265
3,2300,2,0,23,69
2,1101,2,1,23,50
2,1157,2,2,23,47.32
2,1162,2,2,23,64.08
2,1402,2,2,23,95
2,1151,2,2,23,46
4,2100,3,0,23,210
2,1500,2,0,23,140
3,1660,3,2,23,128
4,2400,4,3,23,500
2,1200,2,0,23,62
3,1800,3,0,23,80
2,1210,2,2,23,69
6,1200,6,2,23,220
2,1405,2,1,23,99
2,950,2,2,23,56
3,1720,3,1,23,95
4,5000,5,0,23,250
2,1128,2,1,23,60
2,1130,2,0,23,61.74
3,3895,3,1,23,390
3,1457,2,2,23,105
3,1500,3,2,23,90
3,1000,2,1,23,48
2,1075,2,1,23,46.76
3,1767,3,1,24,103
2,276,3,3,24,23
2,1295,2,1,24,65
3,1560,3,3,24,115
3,2390,3,2,24,410
3,1545,3,1,24,68.75
3,1450,2,3,24,85
3,1750,3,1,24,120
2,1179,2,1,24,66.02
2,1015,2,2,24,25.88
3,1825,3,2,24,100
3,1350,3,0,24,54.54
3,1500,2,2,24,98
3,1600,3,2,24,52
3,1065,2,1,24,33
2,674,2,1,24,29
2,1300,2,1,24,60
4,3000,4,3,24,160
3,1800,3,2,24,180
3,1758,3,2,24,65
2,1050,2,0,24,110
2,550,1,1,24,15
3,2610,3,0,24,399
3,1200,2,0,24,66.5
4,600,4,1,24,40
3,1460,2,2,24,58.39
3,1100,3,1,24,78
2,1315,2,2,24,90
2,1263,2,1,24,93.32
2,1070,2,2,24,50
2,795,2,1,24,32.54
5,2350,2,0,24,423
10,12000,12,0,24,525
2,1220,2,2,24,50.89
3,1200,3,2,24,70
2,1199,2,2,24,65
3,1750,3,1,24,180
2,900,2,2,24,22.5
2,1269,2,1,24,75
3,1575,3,3,24,63.1
3,1310,2,1,24,37.83
3,1650,3,2,24,71
2,1175,2,0,24,45
3,1305,2,1,24,59
9,1200,9,1,24,145
2,1150,2,2,24,77
6,3300,6,3,24,165
3,1200,2,0,24,108
4,3179,5,3,24,351
3,2215,4,2,24,156
3,1288,2,1,24,70
3,1846,3,3,24,145
2,700,1,0,24,19.4
8,1200,8,2,24,220
3,1460,2,2,24,75
3,1400,2,1,24,240
2,1095,2,1,24,60
3,1700,2,2,24,68.5
4,1750,2,1,24,225
3,2145,3,3,24,125
2,883,2,1,24,37
2,1414,2,0,24,84.18
3,1560,3,3,24,125
8,700,4,0,24,104
3,1656,3,2,24,90
4,750,4,0,24,88
3,1756,3,2,24,131
3,1682,3,1,24,114
3,1458,3,2,24,60
2,1017,2,2,24,27
3,1649,3,2,24,150
2,1202,2,1,24,79
3,1200,2,1,24,75
3,1650,3,2,24,51.98
3,1200,3,1,24,205
3,2180,3,2,24,210
2,1200,2,1,24,56
3,1728,3,2,24,125
6,1200,4,2,24,90
1,400,1,0,24,35
3,1984,4,1,24,145
2,1200,2,1,24,61
2,1245,2,1,24,75
2,1063,2,1,24,32.8
4,3435,2,1,24,341
2,1262,2,2,24,67
4,2680,1,0,24,80.59
2,1355,2,1,24,97.6
2,1200,2,2,24,160
3,1565,2,2,24,56
2,1100,2,1,24,49.49
3,1250,2,2,24,50
2,1200,1,1,24,36
2,1307,2,1,24,50
4,10961,4,1,24,80
3,1200,3,2,24,76.13
3,1110,2,2,24,29.97
3,1602,2,1,24,75
2,1210,2,1,24,82
3,1480,3,2,24,75
4,2790,5,3,24,198
3,2378,3,1,24,310
8,600,4,3,24,175
2,1144,2,2,24,65
2,1243,2,2,24,46
2,1415,2,2,24,120
3,1160,2,2,24,42
3,2495,3,3,24,130
3,1420,3,2,24,62
2,1116,2,1,24,45
2,1020,2,1,24,30.27
2,1235,2,2,24,52.76
2,1255,2,3,24,65
6,1300,6,3,24,150
3,1476,2,1,24,73
3,2280,4,2,24,125
3,1400,2,2,24,42
3,1750,3,2,24,58
3,1560,3,2,24,90
7,2456,7,2,24,85
2,1140,2,1,24,34
2,1026,2,1,24,50.18
2,1197,2,1,24,75
2,1126,2,1,24,39.4
2,1123,2,2,24,60
2,1100,2,2,24,50
3,3295,3,3,24,310
4,1200,4,1,24,80
4,3000,4,2,24,140
2,1260,2,1,24,55
3,1573,3,2,24,100
2,1035,2,2,24,55
4,3596,4,2,24,268
3,1290,3,3,24,62
2,1010,2,1,24,32
2,1226,2,1,24,65.59
1,510,1,0,25,25.25
3,1427,3,2,25,120
6,3600,6,0,25,141
2,1350,2,1,25,55.55
7,12000,6,3,25,2200
1,375,2,0,25,26
3,2791,3,1,25,223
2,1230,2,0,25,43.48
2,1296,2,2,25,83
5,3300,5,2,25,240
2,1190,2,1,25,49.98
3,1580,2,2,25,65
3,3095,3,3,25,350
2,1006,2,2,25,35
3,1450,2,1,25,50.75
3,1405,2,1,25,78
2,1090,2,2,25,32.69
3,2200,2,1,25,162
2,1163,2,2,25,98.86
2,1145,2,2,25,55
1,600,1,1,25,28
1,360,1,1,25,26
3,1750,3,2,25,150
2,1179,2,1,25,75
2,946,2,1,25,38
2,990,2,1,25,44.55
6,3500,5,0,25,160
4,3067,4,3,25,230
3,1863,3,0,25,69.315
0,2400,1,0,25,28.785
2,700,1,1,25,35
2,755,1,1,25,34
5,1200,5,0,25,195
3,2350,5,1,25,327
3,1250,3,2,25,139
3,2300,3,1,25,220
3,2024,3,0,25,157
1,420,1,1,25,17
4,4800,4,0,25,700
6,2150,6,3,25,205
2,1132,2,1,25,79.28
3,1605,2,3,25,85
3,1850,3,3,25,98
3,2006,4,2,25,196
3,1600,3,2,25,180
5,1200,4,1,25,98
2,1175,2,1,25,57
2,1200,2,2,25,75
3,1342,3,3,25,92
3,2431,3,1,25,100
3,1430,2,2,25,54.11
2,1155,2,1,25,46
2,1366,2,1,25,83
2,1123,2,1,25,56
2,1230,2,1,25,58
2,1165,2,1,25,33.64
3,1745,3,3,25,100
2,1077,2,2,25,93
3,1350,3,1,25,60
5,1200,5,0,25,162
3,1490,2,2,25,59.6
3,1270,2,3,25,55.25
3,1208.51,3,2,25,42
6,1000,5,3,25,98
6,1000,6,3,25,275
3,1900,3,3,25,155
3,2075,3,1,25,115
5,4000,4,2,25,1000
3,1330,3,3,25,73.5
2,1198,2,1,25,86.26
3,1555,3,2,25,75
2,920,2,1,25,40
9,2600,12,0,25,675
2,1012,2,1,25,59
2,1315,2,3,25,75
3,1595,3,2,25,70.39
2,1099,2,2,25,65
2,1080,2,3,25,50
3,3500,4,2,25,185
3,1680,3,3,25,125
2,1636,2,2,25,82.89
4,4000,4,2,25,325
3,2425,3,1,25,197
7,1000,7,3,25,250
4,3978,4,3,25,428
2,1100,2,1,25,60
3,3144,3,1,25,455
3,1842,3,2,25,115
2,973,2,1,25,56
2,1141,2,1,25,62
1,700,1,1,25,30.84
3,1200,3,2,25,165
2,1225,2,2,25,71.05
3,1500,3,1,25,95
3,1835,3,2,25,160
4,1500,4,1,25,89.45
3,1683,3,1,25,110
2,1148,2,2,25,69
3,1290,3,2,25,45.33
2,1100,2,1,25,41
3,1300,2,1,25,51
2,635,1,1,25,28
4,2800,4,3,25,365
2,1011,2,2,25,38
3,2750,5,2,25,275
1,525,1,1,25,26.01
2,1263,2,1,25,51.5
3,1750,3,2,25,58
2,1419,2,2,25,48.1
3,2690,3,2,25,295
2,1080,2,1,25,31.99
3,2214,3,2,25,350
3,1639,3,2,25,107
3,1362,3,1,25,62.63
3,2100,3,1,25,270
3,1362,3,1,25,62.63
2,1400,2,2,25,105
1,700,1,1,25,21.5
2,1225,2,2,25,71.05
2,1037,2,1,25,36
4,4800,4,3,25,550
3,3758,3,1,25,300
2,650,2,2,25,45
2,1210,2,2,25,54
1,450,1,1,25,20
2,1050,2,2,25,45
3,1357,2,2,25,59
2,1276,2,1,25,69.5
3,2153,4,3,25,120
3,1515,3,3,25,80.5
2,1175,2,2,25,86.68
2,1120,2,1,25,42.5
3,1830,3,3,25,89.89
2,1227,2,2,25,42.88
2,600,3,2,25,72
3,1408,3,2,25,80
3,1881,3,2,25,115
2,1379,2,1,25,85
1,510,1,1,25,22
3,1250,3,2,26,56
3,2061,3,1,26,200
1,589,1,1,26,27
3,1550,3,3,26,67
2,550,1,1,26,62
2,1062,2,3,26,38
1,600,1,0,26,90
3,1500,3,1,26,139
2,1275,2,2,26,52
5,4500,5,1,26,415
2,1220,2,1,26,56.5
3,1470,2,1,26,88.64
3,1390,2,1,26,175
2,1200,2,2,26,55
2,999,2,3,26,45
2,1160,2,2,26,44.08
3,2710,3,1,26,251
2,1243,2,1,26,58
2,1098,2,1,26,72
2,1180,2,2,26,50
4,1320,2,1,26,110
3,1350,3,1,26,55
3,1200,2,0,26,66
4,1850,4,2,26,86
3,1726,3,3,26,145
3,2400,3,1,26,260
3,1634,3,1,26,83.33
2,1210,2,2,26,72
2,1043,2,2,26,65
2,1020,2,1,26,42.48
2,1463,1,1,26,142
5,800,5,2,26,98
3,1818,3,1,26,135
2,1259,2,1,26,67.4
3,1817,4,0,26,153
3,1340,2,3,26,64.31
2,1500,1,0,26,160
2,1160,2,1,26,46.39
2,1070,2,2,26,37.45
3,1920,3,2,26,150
3,2350,3,2,26,400
2,1925,2,1,26,50
4,2400,4,2,26,525
2,1290,2,1,26,80
3,1462,3,3,26,71
3,2538,1,0,26,113.19
3,1428,2,1,26,80
3,1410,2,3,26,50.06
3,1800,3,2,26,85
3,1804,3,2,26,102
3,3035,5,0,26,271
2,1205,2,1,26,70
2,1090,2,2,26,35.03
3,1884,3,3,26,98
2,1340,2,2,26,60
4,2792,4,1,26,220
2,1050,2,2,26,52.5
4,2000,1,0,26,66.165
3,1760,3,2,26,160
3,1650,3,2,26,100
2,1295,2,2,26,95
3,800,2,2,26,80
2,1133,2,2,26,38.41
2,1243,2,2,26,46
2,1201,2,2,26,59.99
3,1910,3,2,26,142
2,1250,2,1,26,58
4,1050,4,2,26,90
2,1178,2,1,26,75
3,3664,3,2,26,325
2,1200,2,2,26,45
4,1200,3,1,26,180
5,2500,5,2,26,125
3,2132,3,3,26,80
2,1500,2,0,26,40
2,1060,2,1,26,35
3,2650,4,3,26,199
3,2023,4,2,26,130
2,1220,2,2,26,52
2,1235,2,1,26,140
3,1724,3,1,26,125
4,3900,4,2,26,410
3,1200,3,1,26,56.12
2,850,1,1,26,19.9
2,1093,2,1,26,34
2,1044,2,2,26,85
2,1190,2,1,26,60
2,1300,2,0,26,60
4,4110,4,2,26,590
2,1046,2,0,26,49.06
2,1000,2,1,26,51
4,600,4,0,26,77
3,1683,3,1,26,140
3,1705,3,2,26,75
3,1700,3,0,26,79.465
3,1500,3,1,26,90
3,1250,2,2,26,44
3,1463,2,1,26,61.45
2,1315,2,0,26,49.49
3,1760,3,0,26,110
2,1165,2,1,26,49.61
2,2400,2,1,26,228
3,1683,3,3,26,80
2,1203,2,2,26,72
3,1100,2,1,26,52.97
3,1400,2,2,26,56
